FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 12/3/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
1.619873	0.925293	-0.004761
1.635132	0.938110	-0.006683
1.649780	0.950928	-0.005096
1.665039	0.963745	-0.004761
1.680298	0.969849	-0.005737
1.694946	0.988770	-0.004761
1.710205	0.995483	-0.005402
1.724854	1.001587	-0.003815
1.740112	0.988770	-0.005096
1.754761	1.014404	-0.006378
1.770020	1.001587	-0.006042
1.785278	1.046143	-0.005737
1.799927	1.058960	-0.006042
1.815186	1.058960	-0.006042
1.829834	1.090698	-0.007324
1.845093	1.084595	-0.005402
1.859741	1.116333	-0.005737
1.875000	1.103516	-0.005096
1.890259	1.135254	-0.005096
1.904907	1.129150	-0.006042
1.920166	1.141968	-0.004761
1.934814	1.141968	-0.005096
1.950073	1.154785	-0.005402
1.964722	1.192627	-0.006042
1.979980	1.154785	-0.006378
1.995239	1.205444	-0.005096
2.009888	1.199341	-0.006042
2.025146	1.231079	-0.005737
2.039795	1.237183	-0.005737
2.055054	1.237183	-0.005402
2.069702	1.256714	-0.007324
2.084961	1.262817	-0.005402
2.100220	1.262817	-0.005402
2.114868	1.307373	-0.006378
2.130127	1.307373	-0.004761
2.144775	1.320190	-0.004120
2.160034	1.314087	-0.005096
2.175293	1.333008	-0.006042
2.189941	1.339111	-0.005096
2.205200	1.351929	-0.005737
2.219849	1.358643	-0.006042
2.235107	1.364746	-0.005737
2.249756	1.396484	-0.005402
2.265015	1.396484	-0.005096
2.280273	1.422119	-0.006042
2.294922	1.416016	-0.004761
2.310181	1.441040	-0.004120
2.324829	1.447754	-0.004761
2.340088	1.447754	-0.006378
2.354736	1.473389	-0.005402
2.369995	1.485596	-0.006378
2.385254	1.498413	-0.005402
2.399902	1.511230	-0.005402
2.415161	1.505127	-0.005096
2.429810	1.492310	-0.005096
2.445068	1.530762	-0.005096
2.459717	1.568604	-0.005402
2.474976	1.568604	-0.005737
2.490234	1.581421	-0.005402
2.504883	1.594238	-0.004456
2.520142	1.600342	-0.006042
2.534790	1.619873	-0.004761
2.550049	1.613159	-0.005402
2.564697	1.638794	-0.004456
2.579956	1.644897	-0.006042
2.595215	1.670532	-0.004761
2.609863	1.670532	-0.004456
2.625122	1.677246	-0.006378
2.639771	1.696167	-0.005402
2.655029	1.689453	-0.005402
2.670288	1.715088	-0.004456
2.684937	1.721802	-0.006042
2.700195	1.734619	-0.005402
2.714844	1.766357	-0.004456
2.730103	1.766357	-0.005737
2.744751	1.779175	-0.005402
2.760010	1.798096	-0.005096
2.775269	1.791992	-0.005402
2.789917	1.798096	-0.004761
2.805176	1.817017	-0.003815
2.819824	1.848755	-0.003815
2.835083	1.861572	-0.005737
2.849731	1.848755	-0.006042
2.864990	1.874390	-0.003815
2.880249	1.881104	-0.005737
2.894897	1.881104	-0.005737
2.910156	1.918945	-0.003815
2.924805	1.925659	-0.005737
2.940063	1.938477	-0.004761
2.954712	1.963501	-0.004456
2.969971	1.983032	-0.004456
2.985229	1.976318	-0.004761
2.999878	1.976318	-0.006683
3.015137	1.976318	-0.005402
3.029785	2.008057	-0.004456
3.045044	2.033691	-0.003510
3.060303	2.040405	-0.003815
3.074951	2.052612	-0.005096
3.090210	2.084961	-0.005737
3.104858	2.072144	-0.005096
3.120117	2.084961	-0.005096
3.134766	2.084961	-0.005096
3.150024	2.103882	-0.005737
3.165283	2.122803	-0.004120
3.179932	2.129517	-0.004761
3.195190	2.148437	-0.006042
3.209839	2.167358	-0.005737
3.225098	2.186890	-0.004456
3.239746	2.161255	-0.004761
3.255005	2.199707	-0.004456
3.270264	2.211914	-0.005096
3.284912	2.211914	-0.004120
3.300171	2.237549	-0.005737
3.314819	2.263184	-0.004761
3.330078	2.244263	-0.004761
3.344727	2.282104	-0.005402
3.359985	2.250366	-0.004456
3.375244	2.263184	-0.006042
3.389893	2.301636	-0.005402
3.405151	2.307739	-0.005096
3.419800	2.326660	-0.003815
3.435059	2.339478	-0.004761
3.449707	2.358398	-0.004120
3.464966	2.371216	-0.004120
3.480225	2.384033	-0.004120
3.494873	2.403564	-0.004456
3.510132	2.415771	-0.002869
3.524780	2.435303	-0.004456
3.540039	2.428589	-0.003815
3.555298	2.454224	-0.006378
3.569946	2.454224	-0.005096
3.585205	2.479858	-0.003815
3.599854	2.485962	-0.003510
3.615112	2.498779	-0.004456
3.629761	2.517700	-0.003815
3.645020	2.517700	-0.004761
3.660278	2.530518	-0.003174
3.674927	2.537231	-0.003815
3.690186	2.562866	-0.003815
3.704834	2.581787	-0.005096
3.720093	2.594604	-0.004456
3.734741	2.607422	-0.004120
3.750000	2.619629	-0.003815
3.765259	2.645264	-0.004456
3.779907	2.632446	-0.005737
3.795166	2.664795	-0.005096
3.809814	2.670898	-0.005096
3.825073	2.664795	-0.005402
3.839722	2.670898	-0.006042
3.854980	2.689819	-0.004761
3.870239	2.709351	-0.005096
3.884888	2.728271	-0.005096
3.900146	2.747192	-0.004761
3.914795	2.728271	-0.004120
3.930054	2.741089	-0.004456
3.944702	2.785645	-0.004456
3.959961	2.791748	-0.004456
3.975220	2.811279	-0.003815
3.989868	2.804565	-0.004456
4.005127	2.836304	-0.003815
4.019775	2.817383	-0.003815
4.035034	2.849121	-0.004761
4.050293	2.874756	-0.003815
4.064941	2.893677	-0.006042
4.080200	2.893677	-0.004456
4.094849	2.900391	-0.003510
4.110107	2.938232	-0.004761
4.124756	2.938232	-0.004456
4.140015	2.938232	-0.003174
4.155273	2.970581	-0.004761
4.169922	2.970581	-0.005096
4.185181	3.015137	-0.002869
4.199829	2.995605	-0.003510
4.215088	3.015137	-0.003174
4.229736	3.034058	-0.005096
4.244995	3.027954	-0.004761
4.260254	3.040161	-0.005096
4.274902	3.052979	-0.007324
4.290161	3.065796	-0.003815
4.304810	3.104248	-0.004120
4.320068	3.135986	-0.004761
4.334717	3.135986	-0.003510
4.349976	3.142090	-0.003815
4.365234	3.154907	-0.003174
4.379883	3.154907	-0.005402
4.395142	3.206177	-0.003815
4.409790	3.186646	-0.004761
4.425049	3.180542	-0.003815
4.439697	3.225098	-0.003174
4.454956	3.212280	-0.004456
4.470215	3.250732	-0.002869
4.484863	3.231812	-0.004456
4.500122	3.250732	-0.003510
4.514771	3.288574	-0.004456
4.530029	3.308105	-0.005096
4.545288	3.314209	-0.003510
