FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 12/3/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	-0.043335	0.031860
0.000000	-0.068359	0.033142
0.000000	-0.062256	0.031219
0.000000	-0.062256	0.029327
0.000000	-0.062256	0.029633
0.000000	-0.043335	0.030273
0.000000	-0.030518	0.031219
0.000000	-0.030518	0.032501
0.000000	-0.036621	0.033447
0.000000	-0.043335	0.034424
0.000000	-0.062256	0.030579
0.000000	-0.062256	0.031860
0.000000	-0.075073	0.031219
0.000000	-0.068359	0.029968
0.000000	-0.036621	0.032196
0.000000	-0.043335	0.031860
0.000000	-0.075073	0.032501
0.000000	-0.062256	0.031555
0.000000	-0.087891	0.027710
0.000000	-0.081177	0.029327
0.000000	-0.075073	0.028687
0.000000	-0.056152	0.028351
0.000000	-0.049438	0.029968
0.000000	-0.036621	0.029968
0.000000	-0.056152	0.033142
0.000000	-0.081177	0.030273
0.000000	-0.068359	0.031219
0.000000	-0.068359	0.029327
0.000000	-0.081177	0.031219
0.000000	-0.036621	0.033142
0.000000	-0.068359	0.035065
0.000000	-0.068359	0.035370
0.000000	-0.049438	0.035675
0.000000	-0.056152	0.032196
0.000000	-0.087891	0.030273
0.000000	-0.081177	0.029327
0.000000	-0.049438	0.030273
0.000000	-0.056152	0.029633
0.000000	-0.049438	0.030273
0.000000	-0.056152	0.029327
0.000000	-0.062256	0.028351
0.000000	-0.062256	0.028046
0.000000	-0.062256	0.028046
0.000000	-0.068359	0.028046
0.000000	-0.036621	0.029968
0.000000	-0.056152	0.030914
0.000000	-0.068359	0.033783
0.000000	-0.068359	0.034088
0.000000	-0.075073	0.033142
0.000000	-0.075073	0.030579
0.000000	-0.068359	0.030914
0.000000	-0.056152	0.034088
0.000000	-0.056152	0.035675
0.000000	-0.043335	0.034424
0.000000	-0.056152	0.034424
0.000000	-0.062256	0.032501
0.000000	-0.081177	0.031860
0.000000	-0.075073	0.029327
0.000000	-0.049438	0.028351
0.000000	-0.043335	0.030914
0.000000	-0.049438	0.031860
0.000000	-0.049438	0.030914
0.000000	-0.062256	0.032196
0.000000	-0.075073	0.031860
0.000000	-0.075073	0.030579
0.000000	-0.068359	0.029968
0.000000	-0.049438	0.031555
0.000000	-0.056152	0.033142
0.000000	-0.043335	0.032806
0.000000	-0.062256	0.034424
0.000000	-0.075073	0.034729
0.000000	-0.068359	0.032501
0.000000	-0.030518	0.032196
0.000000	-0.075073	0.030914
0.000000	-0.049438	0.033142
0.000000	-0.068359	0.032501
0.000000	-0.081177	0.032196
0.000000	-0.043335	0.031555
0.000000	-0.081177	0.030273
0.000000	-0.081177	0.027405
0.000000	-0.081177	0.027710
0.000000	-0.075073	0.028046
0.000000	-0.043335	0.029633
0.000000	-0.056152	0.030579
0.000000	-0.056152	0.031555
0.000000	-0.062256	0.029968
0.000000	-0.081177	0.030273
0.000000	-0.062256	0.032501
0.000000	-0.062256	0.029968
0.000000	-0.087891	0.031860
0.000000	-0.056152	0.034424
0.000000	-0.068359	0.033447
0.000000	-0.081177	0.034088
0.000000	-0.062256	0.032196
0.000000	-0.081177	0.029968
0.000000	-0.075073	0.029968
0.000000	-0.062256	0.029968
0.000000	-0.056152	0.031860
0.000000	-0.062256	0.033142
0.000000	-0.087891	0.031219
0.000000	-0.062256	0.032501
0.000000	-0.062256	0.030914
0.000000	-0.093994	0.031219
0.000000	-0.075073	0.030579
0.000000	-0.049438	0.032806
0.000000	-0.043335	0.034088
0.000000	-0.043335	0.033142
0.000000	-0.062256	0.033142
0.000000	-0.081177	0.033447
0.000000	-0.056152	0.030579
0.000000	-0.087891	0.031860
0.000000	-0.081177	0.031555
0.000000	-0.081177	0.031860
0.000000	-0.056152	0.033142
0.000000	-0.030518	0.032196
0.000000	-0.075073	0.032196
0.000000	-0.081177	0.030579
0.000000	-0.081177	0.029633
0.000000	-0.062256	0.030579
0.000000	-0.068359	0.030914
0.000000	-0.056152	0.032196
0.000000	-0.056152	0.032501
0.000000	-0.062256	0.032501
0.000000	-0.081177	0.032806
0.000000	-0.081177	0.029633
0.000000	-0.081177	0.030579
0.000000	-0.056152	0.032501
0.000000	-0.049438	0.034088
0.000000	-0.062256	0.033783
0.000000	-0.062256	0.034088
0.000000	-0.081177	0.033142
0.000000	-0.093994	0.032806
0.000000	-0.106812	0.030579
0.000000	-0.062256	0.030579
0.000000	-0.081177	0.031555
0.000000	-0.068359	0.032806
0.000000	-0.068359	0.033142
0.000000	-0.049438	0.032806
0.000000	-0.075073	0.029633
0.000000	-0.081177	0.029633
0.000000	-0.081177	0.028046
0.000000	-0.075073	0.030579
0.000000	-0.049438	0.030273
0.000000	-0.036621	0.032501
0.000000	-0.081177	0.030914
0.000000	-0.056152	0.031555
0.000000	-0.081177	0.030579
0.000000	-0.081177	0.029633
0.000000	-0.087891	0.031219
0.000000	-0.062256	0.032806
0.000000	-0.049438	0.034729
0.000000	-0.068359	0.034088
0.000000	-0.068359	0.035370
0.000000	-0.068359	0.032501
0.000000	-0.100708	0.032196
0.000000	-0.075073	0.029633
0.000000	-0.081177	0.029633
0.000000	-0.081177	0.033783
0.000000	-0.062256	0.031555
0.000000	-0.062256	0.032501
0.000000	-0.062256	0.030914
0.000000	-0.075073	0.029968
0.000000	-0.081177	0.029633
0.000000	-0.062256	0.027710
0.000000	-0.056152	0.030579
0.000000	-0.062256	0.031555
0.000000	-0.049438	0.032501
0.000000	-0.081177	0.033142
0.000000	-0.068359	0.030914
0.000000	-0.081177	0.030579
0.000000	-0.087891	0.031860
0.000000	-0.093994	0.031219
0.000000	-0.049438	0.032196
0.000000	-0.049438	0.033447
0.000000	-0.056152	0.032196
0.000000	-0.068359	0.034424
0.000000	-0.081177	0.031555
0.000000	-0.068359	0.031555
0.000000	-0.081177	0.029968
0.000000	-0.075073	0.030914
0.000000	-0.056152	0.031555
0.000000	-0.068359	0.033447
0.000000	-0.062256	0.031860
0.000000	-0.087891	0.033142
0.000000	-0.093994	0.030914
0.000000	-0.075073	0.029327
0.000000	-0.087891	0.029633
0.000000	-0.081177	0.031219
0.000000	-0.030518	0.032196
0.000000	-0.049438	0.034424
0.000000	-0.068359	0.033142
0.000000	-0.056152	0.031555
0.000000	-0.049438	0.031219
0.000000	-0.106812	0.030579
0.000000	-0.062256	0.030914
0.000000	-0.087891	0.032501
0.000000	-0.056152	0.034729
0.000000	-0.087891	0.033447
0.000000	-0.056152	0.032806
0.000000	-0.075073	0.032196
0.000000	-0.081177	0.030273
0.000000	-0.068359	0.029633
0.000000	-0.068359	0.029633
0.000000	-0.068359	0.032196
0.000000	-0.056152	0.031219
0.000000	-0.062256	0.032501
0.000000	-0.081177	0.029327
0.000000	-0.100708	0.030273
0.000000	-0.068359	0.029968
0.000000	-0.049438	0.030579
0.000000	-0.056152	0.032196
0.000000	-0.068359	0.033142
0.000000	-0.043335	0.036316
0.000000	-0.075073	0.033783
0.000000	-0.075073	0.033447
0.000000	-0.100708	0.030914
0.000000	-0.068359	0.030579
0.000000	-0.056152	0.031860
0.000000	-0.049438	0.034088
0.000000	-0.068359	0.033783
0.000000	-0.062256	0.033783
0.000000	-0.081177	0.033447
0.000000	-0.068359	0.031219
0.000000	-0.068359	0.029968
0.000000	-0.043335	0.032196
0.000000	-0.056152	0.032806
0.000000	-0.056152	0.032196
0.000000	-0.043335	0.034088
0.000000	-0.075073	0.032806
0.000000	-0.081177	0.031555
0.000000	-0.106812	0.031555
0.000000	-0.087891	0.031555
0.000000	-0.081177	0.032196
0.000000	-0.030518	0.033783
0.000000	-0.068359	0.033447
0.000000	-0.062256	0.033447
0.000000	-0.062256	0.032806
0.000000	-0.075073	0.031860
0.000000	-0.081177	0.030579
0.000000	-0.062256	0.030273
0.000000	-0.056152	0.032806
0.000000	-0.030518	0.032501
0.000000	-0.068359	0.031860
0.000000	-0.068359	0.030914
0.000000	-0.068359	0.030273
0.000000	-0.100708	0.030579
0.000000	-0.081177	0.028687
0.000000	-0.056152	0.030273
0.000000	-0.056152	0.031860
0.000000	-0.068359	0.032196
0.000000	-0.068359	0.034088
0.000000	-0.075073	0.032501
0.000000	-0.087891	0.032196
0.000000	-0.062256	0.031555
0.000000	-0.087891	0.032196
0.000000	-0.049438	0.032196
0.000000	-0.062256	0.034424
0.000000	-0.062256	0.034424
0.000000	-0.062256	0.034424
0.000000	-0.075073	0.031860
0.000000	-0.075073	0.030273
0.000000	-0.106812	0.030914
0.000000	-0.068359	0.031219
0.000000	-0.030518	0.031555
0.000000	-0.068359	0.032196
0.000000	-0.075073	0.032196
0.000000	-0.068359	0.030579
0.000000	-0.100708	0.029968
0.000000	-0.087891	0.029327
0.000000	-0.081177	0.029633
0.000000	-0.049438	0.029968
0.000000	-0.056152	0.031860
0.000000	-0.081177	0.034088
0.000000	-0.068359	0.034088
0.000000	-0.093994	0.033447
0.000000	-0.081177	0.032196
0.000000	-0.075073	0.031860
0.000000	-0.062256	0.032501
0.000000	-0.068359	0.034088
0.000000	-0.075073	0.035370
0.000000	-0.075073	0.033447
0.000000	-0.081177	0.032806
0.000000	-0.068359	0.030579
0.000000	-0.049438	0.030273
0.000000	-0.075073	0.030273
0.000000	-0.056152	0.029633
0.000000	-0.049438	0.031555
0.000000	-0.062256	0.032196
0.000000	-0.075073	0.031860
0.000000	-0.093994	0.028687
0.000000	-0.081177	0.029633
0.000000	-0.075073	0.029633
0.000000	-0.068359	0.029327
0.000000	-0.043335	0.032196
0.000000	-0.036621	0.033783
0.000000	-0.068359	0.034088
0.000000	-0.056152	0.033783
0.000000	-0.081177	0.033142
0.000000	-0.087891	0.032501
0.000000	-0.068359	0.031219
0.000000	-0.062256	0.033142
0.000000	-0.056152	0.034088
0.000000	-0.068359	0.033783
0.000000	-0.056152	0.031860
0.000000	-0.068359	0.032806
0.000000	-0.081177	0.029633
0.000000	-0.087891	0.028992
0.000000	-0.062256	0.028687
0.000000	-0.056152	0.030273
0.000000	-0.056152	0.029968
0.000000	-0.049438	0.031555
0.000000	-0.075073	0.030273
0.000000	-0.062256	0.030914
0.000000	-0.093994	0.029968
0.000000	-0.081177	0.029968
0.000000	-0.068359	0.030579
0.000000	-0.075073	0.032501
0.000000	-0.056152	0.034088
0.000000	-0.062256	0.033447
0.000000	-0.068359	0.032196
0.000000	-0.087891	0.032501
0.000000	-0.100708	0.030579
0.000000	-0.100708	0.030914
0.000000	-0.056152	0.032806
0.000000	-0.081177	0.033783
0.000000	-0.081177	0.034088
0.000000	-0.075073	0.032196
0.000000	-0.075073	0.031860
0.000000	-0.081177	0.030914
0.000000	-0.075073	0.028687
0.000000	-0.056152	0.030579
0.000000	-0.068359	0.033142
0.000000	-0.062256	0.033447
0.000000	-0.056152	0.032501
0.000000	-0.087891	0.033783
0.000000	-0.087891	0.032196
0.000000	-0.087891	0.031555
0.000000	-0.068359	0.030273
0.000000	-0.068359	0.034088
0.000000	-0.043335	0.035370
0.000000	-0.075073	0.035370
0.000000	-0.075073	0.035370
0.000000	-0.100708	0.033447
0.000000	-0.075073	0.032806
0.000000	-0.081177	0.031860
0.000000	-0.075073	0.031555
0.000000	-0.075073	0.032806
0.000000	-0.049438	0.032196
0.000000	-0.062256	0.032806
0.000000	-0.062256	0.030579
0.000000	-0.081177	0.029968
0.000000	-0.068359	0.029327
0.000000	-0.081177	0.029327
0.000000	-0.056152	0.030273
0.000000	-0.036621	0.031555
0.000000	-0.068359	0.032501
0.000000	-0.068359	0.033447
0.000000	-0.081177	0.031555
0.000000	-0.087891	0.030579
0.000000	-0.087891	0.031219
0.000000	-0.087891	0.031860
0.000000	-0.075073	0.033142
0.000000	-0.056152	0.032806
0.000000	-0.049438	0.032806
0.000000	-0.056152	0.031219
0.000000	-0.093994	0.029327
0.000000	-0.068359	0.027710
0.000000	-0.100708	0.027100
0.000000	-0.043335	0.027710
0.000000	-0.056152	0.029968
0.000000	-0.075073	0.030273
0.000000	-0.068359	0.030579
0.000000	-0.075073	0.029327
0.000000	-0.087891	0.029327
0.000000	-0.081177	0.029968
0.000000	-0.068359	0.030914
0.000000	-0.049438	0.033783
0.000000	-0.062256	0.036316
0.015259	-0.062256	0.036652
0.029907	-0.030518	0.037903
0.045166	-0.043335	0.034088
0.059814	-0.043335	0.033447
0.075073	-0.030518	0.032806
0.089722	-0.004883	0.033783
0.104980	0.026855	0.035370
0.120239	0.007935	0.033783
0.134888	-0.004883	0.033142
0.150146	0.001221	0.032196
0.164795	0.026855	0.029968
0.180054	0.020752	0.030579
0.194702	0.039673	0.031219
0.209961	0.058594	0.032806
0.225220	0.065308	0.035370
0.239868	0.052490	0.034729
0.255127	0.065308	0.034088
