FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 12/3/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
1.304932	0.727539	0.008301
1.320190	0.734253	0.008301
1.334839	0.765991	0.007965
1.350098	0.765991	0.007660
1.364746	0.784912	0.008606
1.380005	0.784912	0.007965
1.395264	0.784912	0.008301
1.409912	0.810547	0.007019
1.425171	0.816650	0.007324
1.439819	0.823364	0.007019
1.455078	0.829468	0.007660
1.469727	0.855103	0.008606
1.484985	0.836182	0.007660
1.500244	0.861816	0.007324
1.514893	0.874023	0.009247
1.530151	0.874023	0.008301
1.544800	0.886841	0.009247
1.560059	0.912476	0.007965
1.574707	0.893555	0.008942
1.589966	0.918579	0.008301
1.605225	0.957031	0.008606
1.619873	0.957031	0.007965
1.635132	0.963745	0.008301
1.649780	0.969849	0.007660
1.665039	0.988770	0.007324
1.680298	0.988770	0.008606
1.694946	0.988770	0.008606
1.710205	1.027222	0.007660
1.724854	1.027222	0.007324
1.740112	1.001587	0.007965
1.754761	1.046143	0.007965
1.770020	1.033325	0.006683
1.785278	1.052856	0.008301
1.799927	1.065674	0.009888
1.815186	1.090698	0.008606
1.829834	1.103516	0.009247
1.845093	1.090698	0.009552
1.859741	1.116333	0.008942
1.875000	1.103516	0.008301
1.890259	1.141968	0.009552
1.904907	1.135254	0.007965
1.920166	1.192627	0.008942
1.934814	1.186523	0.007660
1.950073	1.192627	0.007965
1.964722	1.173706	0.006378
1.979980	1.199341	0.008301
1.995239	1.218262	0.009552
2.009888	1.237183	0.007660
2.025146	1.243896	0.008606
2.039795	1.243896	0.008606
2.055054	1.269531	0.009888
2.069702	1.269531	0.008942
2.084961	1.294556	0.008606
2.100220	1.294556	0.007324
2.114868	1.294556	0.007965
2.130127	1.320190	0.008301
2.144775	1.345825	0.008301
2.160034	1.345825	0.007324
2.175293	1.358643	0.008942
2.189941	1.371460	0.008606
2.205200	1.377563	0.008606
2.219849	1.383667	0.007324
2.235107	1.396484	0.007019
2.249756	1.403198	0.007324
2.265015	1.416016	0.008606
2.280273	1.434937	0.008942
2.294922	1.473389	0.009888
2.310181	1.441040	0.007965
2.324829	1.453857	0.007660
2.340088	1.485596	0.007660
2.354736	1.498413	0.007660
2.369995	1.492310	0.006683
2.385254	1.498413	0.007660
2.399902	1.524048	0.007965
2.415161	1.524048	0.007324
2.429810	1.549683	0.008606
2.445068	1.568604	0.007965
2.459717	1.575317	0.008301
2.474976	1.575317	0.007324
2.490234	1.607056	0.007324
2.504883	1.607056	0.007324
2.520142	1.613159	0.008606
2.534790	1.638794	0.008301
2.550049	1.651611	0.006073
2.564697	1.657715	0.007324
2.579956	1.651611	0.008606
2.595215	1.664429	0.007965
2.609863	1.696167	0.008606
2.625122	1.683350	0.007019
2.639771	1.702271	0.007019
2.655029	1.715088	0.007965
2.670288	1.746826	0.008606
2.684937	1.740723	0.006683
2.700195	1.746826	0.007660
2.714844	1.759644	0.007965
2.730103	1.785278	0.010193
2.744751	1.791992	0.008942
2.760010	1.817017	0.007660
2.775269	1.810913	0.008301
2.789917	1.810913	0.007324
2.805176	1.829834	0.007324
2.819824	1.848755	0.008606
2.835083	1.855469	0.007324
2.849731	1.900024	0.008606
2.864990	1.893921	0.007019
2.880249	1.931763	0.009552
2.894897	1.938477	0.008942
2.910156	1.931763	0.008606
2.924805	1.938477	0.007965
2.940063	1.950684	0.008301
2.954712	1.950684	0.007660
2.969971	1.970215	0.008942
2.985229	1.983032	0.008942
2.999878	2.008057	0.006683
3.015137	2.014771	0.007965
3.029785	2.014771	0.007965
3.045044	2.020874	0.007019
3.060303	2.040405	0.008606
3.074951	2.072144	0.006378
3.090210	2.084961	0.008301
3.104858	2.072144	0.007324
3.120117	2.097778	0.007965
3.134766	2.091064	0.008606
3.150024	2.109985	0.008606
3.165283	2.129517	0.008301
3.179932	2.142334	0.007324
3.195190	2.161255	0.007660
3.209839	2.180176	0.007965
3.225098	2.167358	0.008606
3.239746	2.186890	0.008301
3.255005	2.192993	0.007324
3.270264	2.224731	0.007660
3.284912	2.237549	0.008301
3.300171	2.244263	0.005737
3.314819	2.256470	0.007660
3.330078	2.263184	0.009888
3.344727	2.288818	0.008606
3.359985	2.282104	0.007660
3.375244	2.288818	0.008942
3.389893	2.301636	0.007965
3.405151	2.326660	0.008942
3.419800	2.352295	0.007660
3.435059	2.346191	0.008942
3.449707	2.352295	0.007965
3.464966	2.396851	0.008942
3.480225	2.384033	0.007965
3.494873	2.415771	0.009247
3.510132	2.415771	0.008606
3.524780	2.422485	0.008301
3.540039	2.454224	0.007660
3.555298	2.460937	0.008942
3.569946	2.460937	0.009552
3.585205	2.473145	0.007019
3.599854	2.492676	0.007660
3.615112	2.505493	0.009247
3.629761	2.492676	0.007965
3.645020	2.517700	0.007965
3.660278	2.524414	0.007965
3.674927	2.568970	0.009552
3.690186	2.581787	0.007965
3.704834	2.587891	0.008606
3.720093	2.587891	0.007965
3.734741	2.587891	0.008301
3.750000	2.607422	0.006073
3.765259	2.626343	0.007324
3.779907	2.658081	0.006683
3.795166	2.658081	0.007324
3.809814	2.670898	0.008942
3.825073	2.696533	0.008301
3.839722	2.689819	0.007965
3.854980	2.721558	0.008606
3.870239	2.721558	0.008301
3.884888	2.741089	0.008942
3.900146	2.747192	0.008301
3.914795	2.760010	0.007965
3.930054	2.766724	0.007965
3.944702	2.791748	0.007324
3.959961	2.823486	0.007965
3.975220	2.804565	0.006378
3.989868	2.830200	0.008301
4.005127	2.843018	0.009247
4.019775	2.855835	0.007660
4.035034	2.880859	0.008301
4.050293	2.887573	0.008606
4.064941	2.900391	0.007965
4.080200	2.900391	0.009247
4.094849	2.919312	0.008301
4.110107	2.938232	0.009247
4.124756	2.951050	0.007965
4.140015	2.951050	0.007965
4.155273	2.963867	0.007324
