FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 12/6/2016 
 
 Experiment Name: 	 HM_VolunteerTool 
 Cantilever ID #: 	 ANHS-9B 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	0.026855	3.059253
0.000000	0.045776	3.548428
0.000000	0.020752	3.412244
0.000000	0.045776	2.308603
0.000000	0.039673	2.456772
0.000000	0.039673	3.332712
0.000000	0.020752	3.094116
0.000000	0.039673	3.673718
0.000000	0.020752	2.422998
0.000000	0.045776	2.331482
0.000000	0.026855	3.196527
0.000000	0.039673	2.956842
0.000000	0.052490	2.536304
0.000000	0.045776	2.206192
0.000000	0.020752	2.081992
0.000000	0.045776	3.276059
0.000000	0.039673	2.889294
0.000000	0.026855	2.115765
0.000000	0.039673	2.002460
0.000000	0.058594	2.650699
0.000000	0.039673	2.912173
0.000000	0.052490	3.036374
0.000000	0.039673	2.684473
0.000000	0.033569	2.354361
0.000000	0.007935	3.309833
0.000000	0.014038	3.014584
0.000000	0.065308	3.002600
0.000000	0.014038	2.912173
0.000000	0.026855	2.615836
0.000000	0.033569	2.548288
0.000000	0.020752	3.684613
0.000000	0.033569	2.730231
0.000000	0.020752	1.990475
0.000000	0.045776	2.730231
0.000000	0.026855	2.877310
0.000000	0.014038	2.774899
0.000000	0.052490	3.105011
0.000000	0.045776	2.263934
0.000000	0.045776	2.592957
0.000000	0.020752	3.241196
0.000000	0.033569	2.900189
0.000000	0.026855	2.400119
0.000000	0.020752	3.184543
0.000000	0.014038	2.786884
0.000000	0.033569	2.320587
0.000000	0.033569	2.979721
0.000000	0.033569	2.650699
0.000000	0.033569	3.196527
0.000000	0.020752	3.161664
0.000000	0.014038	2.730231
0.000000	0.020752	3.071237
0.000000	0.001221	2.707352
0.000000	-0.004883	2.889294
0.000000	0.020752	2.479651
0.000000	0.020752	1.888065
0.000000	0.020752	2.263934
0.000000	0.045776	2.695367
0.000000	0.033569	3.105011
0.000000	0.052490	2.354361
0.000000	0.007935	3.241196
0.000000	0.014038	2.854431
0.000000	0.020752	3.617065
0.000000	0.039673	2.968826
0.000000	0.020752	2.718246
0.000000	0.020752	2.366345
0.000000	0.014038	3.218317
0.000000	0.014038	2.695367
0.000000	0.001221	3.423138
0.000000	0.007935	2.411014
0.000000	-0.010986	2.570078
0.000000	-0.004883	3.571307
0.000000	0.007935	3.218317
0.000000	-0.004883	2.570078
0.000000	0.014038	2.456772
0.000000	-0.004883	2.809763
0.000000	0.001221	3.276059
0.000000	-0.017700	3.423138
0.000000	-0.010986	1.854291
0.000000	-0.004883	1.683243
0.000000	0.020752	2.456772
0.000000	0.026855	2.741125
0.000000	-0.004883	3.116995
0.000000	0.020752	2.308603
0.000000	0.020752	1.513284
0.000000	-0.004883	3.025479
0.000000	0.007935	3.276059
0.000000	0.001221	2.433893
0.000000	0.020752	2.297708
0.000000	0.007935	2.513425
0.000000	0.001221	2.479651
0.000000	0.026855	3.127890
0.000000	-0.004883	2.752020
0.000000	0.001221	3.400259
0.000000	-0.004883	3.094116
0.000000	0.026855	3.548428
0.000000	0.007935	3.537534
0.000000	0.014038	2.832642
0.000000	0.007935	2.570078
0.025024	0.020752	3.094116
0.050049	0.071411	2.229071
0.075073	0.097046	2.195297
0.100098	0.065308	2.638715
0.125122	0.103149	2.274829
0.150146	0.115967	2.218176
0.175171	0.141602	1.921838
0.200195	0.205078	2.218176
0.225220	0.192871	2.979721
0.250244	0.180054	3.423138
0.275269	0.211792	3.230301
0.300293	0.224609	2.320587
0.324707	0.237427	2.536304
0.349731	0.224609	3.707492
0.374756	0.249634	3.094116
0.399780	0.275269	3.241196
0.424805	0.300903	2.320587
0.449829	0.313721	3.650839
0.474854	0.300903	4.083362
0.499878	0.339355	3.230301
0.524902	0.364380	2.866415
0.549927	0.371094	2.479651
0.574951	0.383911	3.138785
0.599976	0.408936	3.605081
0.625000	0.396729	2.752020
0.650024	0.434570	1.580832
0.675049	0.460205	2.047128
0.700073	0.466309	2.991705
0.725098	0.479126	3.105011
0.750122	0.498657	3.458002
0.775146	0.517578	2.206192
0.800171	0.536499	3.502670
0.825195	0.530396	3.298938
0.850220	0.574951	3.707492
0.875244	0.574951	2.945947
0.900269	0.606689	3.276059
0.925293	0.593872	3.002600
0.949707	0.625610	4.083362
0.974731	0.632324	3.696597
0.999756	0.638428	3.412244
1.024780	0.676880	3.776129
1.049805	0.695801	3.127890
1.074829	0.708618	3.991846
1.099854	0.734253	3.423138
1.124878	0.740356	3.662823
1.149902	0.759888	3.105011
1.174927	0.784912	2.592957
1.199951	0.791626	2.172418
1.224976	0.778809	2.582062
1.250000	0.829468	3.332712
1.275024	0.836182	3.241196
1.300049	0.829468	2.809763
1.325073	0.861816	3.605081
1.350098	0.880737	3.025479
1.375122	0.886841	3.480881
1.400146	0.912476	3.935193
1.425171	0.938110	3.138785
1.450195	0.957031	2.377240
1.475220	0.975952	3.480881
1.500244	0.995483	3.286954
1.525269	0.995483	3.207422
1.550293	0.982666	2.548288
1.574707	1.052856	2.570078
1.599731	1.040039	3.423138
1.624756	1.052856	3.560413
1.649780	1.084595	2.786884
1.674805	1.090698	2.490546
1.699829	1.116333	2.195297
1.724854	1.116333	3.514655
1.749878	1.160889	2.933963
1.774902	1.167603	1.956702
1.799927	1.179810	1.877170
1.824951	1.212158	2.877310
1.849976	1.231079	3.286954
1.875000	1.256714	3.025479
1.900024	1.250000	2.877310
1.925049	1.269531	2.400119
1.950073	1.281738	3.730371
1.975098	1.301270	3.309833
2.000122	1.320190	3.127890
2.025146	1.326904	2.774899
2.050171	1.333008	3.173648
2.075195	1.364746	3.548428
2.100220	1.409302	3.650839
2.125244	1.409302	2.752020
2.150269	1.422119	2.923068
2.175293	1.428833	3.400259
2.199707	1.453857	3.423138
2.224731	1.492310	3.173648
2.249756	1.498413	2.912173
2.274780	1.524048	2.103781
2.299805	1.536865	2.592957
2.324829	1.549683	2.968826
2.349854	1.530762	3.048358
2.374878	1.549683	2.730231
2.399902	1.607056	2.467667
2.424927	1.625977	2.684473
2.449951	1.664429	3.036374
2.474976	1.677246	2.411014
2.500000	1.664429	3.241196
2.525024	1.689453	3.025479
2.550049	1.683350	2.730231
2.575073	1.727905	2.820657
2.600098	1.715088	3.082132
2.625122	1.759644	3.218317
2.650146	1.772461	3.662823
2.675171	1.779175	3.138785
2.700195	1.804199	2.103781
2.725220	1.810913	3.343607
2.750244	1.842651	3.423138
2.775269	1.848755	3.514655
2.800293	1.861572	2.592957
2.824707	1.900024	3.082132
2.849731	1.918945	2.866415
2.874756	1.925659	3.684613
2.899780	1.944580	3.594186
2.924805	1.963501	2.650699
2.949829	2.008057	2.331482
2.974854	1.989136	3.639944
2.999878	2.020874	3.309833
3.024902	2.040405	3.776129
3.049927	2.059326	2.229071
3.074951	2.065430	2.968826
3.099976	2.103882	3.821887
3.125000	2.109985	4.185773
3.150024	2.135620	3.605081
3.175049	2.135620	3.446017
3.200073	2.154541	3.071237
3.225098	2.199707	3.866556
3.250122	2.192993	4.196667
3.275146	2.224731	3.594186
3.300171	2.231445	2.912173
3.325195	2.282104	3.309833
3.350220	2.288818	3.502670
3.375244	2.313843	3.491776
3.400269	2.333374	2.456772
3.425293	2.339478	2.809763
3.449707	2.377930	2.991705
3.474731	2.346191	3.742355
3.499756	2.365112	2.933963
3.524780	2.396851	2.889294
3.549805	2.409668	2.933963
3.574829	2.441406	2.843536
3.599854	2.473145	3.912314
3.624878	2.473145	2.866415
3.649902	2.492676	3.617065
3.674927	2.505493	4.003830
3.699951	2.524414	3.958072
3.724976	2.562866	3.799008
3.750000	2.562866	3.320728
3.775024	2.594604	3.116995
3.800049	2.600708	3.298938
3.825073	2.600708	3.696597
3.850098	2.645264	3.196527
3.875122	2.651978	3.253180
3.900146	2.689819	3.400259
3.925171	2.689819	2.912173
3.950195	2.741089	3.241196
3.975220	2.728271	3.594186
4.000244	2.785645	3.320728
4.025269	2.778931	3.730371
4.050293	2.798462	3.525549
4.074707	2.811279	2.559183
4.099731	2.843018	3.343607
4.124756	2.855835	3.253180
4.149780	2.861938	3.947177
4.174805	2.906494	3.400259
4.199829	2.893677	2.956842
4.224854	2.957764	3.094116
4.249878	2.951050	3.776129
4.274902	2.963867	4.697827
4.299927	2.963867	3.378470
4.324951	3.015137	3.855661
4.349976	3.052979	3.480881
4.375000	3.052979	4.583432
4.400024	3.059692	3.855661
4.425049	3.084717	3.298938
4.450073	3.097534	2.956842
4.475098	3.129883	3.150769
4.500122	3.167725	3.889435
4.525146	3.148804	3.866556
4.550171	3.212280	3.218317
4.575195	3.180542	2.900189
4.600220	3.218994	3.514655
4.625244	3.231812	3.924298
4.650269	3.244019	3.901419
4.675293	3.282471	3.207422
4.699707	3.308105	2.900189
4.724731	3.301392	4.060483
4.749756	3.327026	4.219547
4.774780	3.371582	3.400259
4.799805	3.378296	3.627960
4.824829	3.358765	3.844766
4.849854	3.422852	4.344836
4.874878	3.410034	4.173788
4.899902	3.441772	4.173788
4.924927	3.486328	3.207422
4.949951	3.486328	4.037604
4.974976	3.505249	4.321957
5.000000	3.549805	3.832782
5.025024	3.524780	3.832782
5.050049	3.569336	3.662823
5.075073	3.626709	3.719476
5.100098	3.626709	3.468896
5.125122	3.639526	3.912314
5.150146	3.639526	3.366486
5.175171	3.677368	4.150909
5.200195	3.658447	3.753250
5.225220	3.728638	3.617065
5.250244	3.715820	4.311063
5.275269	3.760376	4.526779
5.300293	3.760376	4.685843
5.324707	3.786011	3.696597
5.349731	3.817749	3.127890
5.374756	3.823853	3.832782
5.399780	3.836670	4.060483
5.424805	3.862305	3.650839
5.449829	3.868408	3.673718
5.474854	3.932495	3.048358
5.499878	3.925781	4.106241
5.524902	3.945312	4.595416
5.549927	3.989868	4.049588
5.574951	4.014893	3.094116
5.599976	4.002686	3.468896
5.625000	4.002686	4.253320
5.650024	4.066162	3.537534
5.675049	4.078979	3.901419
5.700073	4.078979	2.718246
5.725098	4.097900	3.366486
5.750122	4.123535	4.083362
5.775146	4.142456	3.650839
5.800171	4.161377	3.298938
5.825195	4.180908	3.662823
5.850220	4.212646	3.230301
5.875244	4.206543	4.162894
5.900269	4.225464	4.288184
5.925293	4.276123	3.594186
5.949707	4.288940	3.776129
5.974731	4.327393	4.447247
5.999756	4.333496	4.424368
6.024780	4.340210	4.049588
6.049805	4.359131	3.968967
6.074829	4.410400	4.265305
6.099854	4.410400	4.947318
6.124878	4.442139	4.742496
6.149902	4.461060	4.083362
6.174927	4.467773	4.332852
6.199951	4.479980	4.185773
6.224976	4.486694	4.890665
6.250000	4.531250	4.435263
6.275024	4.575806	4.060483
6.300049	4.562988	4.355731
6.325073	4.607544	4.617206
6.350098	4.633179	4.537674
6.375122	4.633179	4.344836
6.400146	4.664917	4.162894
6.425171	4.683838	4.060483
6.450195	4.716187	4.390594
6.475220	4.703369	3.968967
6.500244	4.716187	3.991846
6.525269	4.741211	4.799149
6.550293	4.754028	4.208652
6.574707	4.805298	4.026709
6.599731	4.811401	4.856891
6.624756	4.843140	4.640085
6.649780	4.881592	4.595416
6.674805	4.862671	4.993076
6.699829	4.920044	4.117136
6.724854	4.913330	3.889435
6.749878	4.951782	4.435263
6.774902	4.938965	4.150909
6.799927	4.983521	4.924438
6.824951	5.009155	4.253320
6.849976	5.015259	3.889435
6.875000	5.059814	4.493005
6.900024	5.040894	5.061713
6.925049	5.059814	4.595416
6.950073	5.104370	4.117136
6.975098	5.136719	3.991846
7.000122	5.168457	5.095486
7.025146	5.181274	4.697827
7.050171	5.187378	4.413474
7.075195	5.213013	3.787024
7.100220	5.219116	4.026709
7.125244	5.263672	4.685843
7.150269	5.257568	4.652069
7.175293	5.289307	4.583432
7.199707	5.302124	4.185773
7.224731	5.327759	5.402719
7.249756	5.340576	5.095486
7.274780	5.352783	5.072607
7.299805	5.410156	4.652069
7.324829	5.429687	4.447247
7.349854	5.448608	4.822028
7.374878	5.461426	5.072607
7.399902	5.499268	3.912314
7.424927	5.531616	3.343607
7.449951	5.518799	3.958072
7.474976	5.556641	4.549658
7.500000	5.550537	4.708722
7.525024	5.601196	4.003830
7.550049	5.601196	3.412244
7.575073	5.639648	3.980951
7.600098	5.658569	4.844907
7.625122	5.671387	4.014725
7.650146	5.703735	4.276199
7.675171	5.735474	4.526779
7.700195	5.741577	4.265305
7.725220	5.767212	4.413474
7.750244	5.754395	5.015955
7.775269	5.798950	4.355731
7.800293	5.817871	5.379840
7.824707	5.850220	4.811133
7.849731	5.843506	4.617206
7.874756	5.875244	5.538904
7.899780	5.932617	4.765375
7.924805	5.945435	4.811133
7.949829	5.939331	4.196667
7.974854	5.964355	3.605081
7.999878	6.028442	4.265305
8.024902	6.028442	4.390594
8.049927	6.015625	4.936423
8.074951	6.047363	3.571307
8.099976	6.079102	4.595416
8.125000	6.085815	4.435263
8.150024	6.098633	5.323187
8.175049	6.156006	5.015955
8.200073	6.168213	4.140015
8.225098	6.181030	4.288184
8.250122	6.213379	4.685843
8.275146	6.232300	4.719617
8.300171	6.282959	5.323187
8.325195	6.264038	3.866556
8.350220	6.302490	5.038834
8.375244	6.302490	5.516025
8.400269	6.327515	4.697827
8.425293	6.334229	3.742355
8.449707	6.359863	3.901419
8.474731	6.404419	4.265305
8.499756	6.436157	4.890665
8.524780	6.455078	4.060483
8.549805	6.461792	3.366486
8.574829	6.499634	3.787024
8.599854	6.519165	4.481021
8.624878	6.538086	4.924438
8.649902	6.544189	4.662964
8.674927	6.550903	4.231531
8.699951	6.601562	3.855661
8.724976	6.621094	5.095486
8.750000	6.621094	4.856891
8.775024	6.658936	4.129120
8.800049	6.678467	4.231531
8.825073	6.703491	4.037604
8.850098	6.729126	4.265305
8.875122	6.741943	4.936423
8.900146	6.780396	4.754480
8.925171	6.780396	5.129260
8.950195	6.786499	4.947318
8.975220	6.831055	5.549799
9.000244	6.831055	5.493146
9.025269	6.882324	4.993076
9.050293	6.888428	4.344836
9.074707	6.939697	4.083362
9.099731	6.926880	3.958072
9.124756	6.964722	4.219547
9.149780	6.964722	5.265445
9.174805	7.028809	4.129120
9.199829	7.041626	3.776129
9.224854	7.053833	4.401489
9.249878	7.086182	4.401489
9.274902	7.086182	5.277429
9.299927	7.130737	4.959302
9.324951	7.130737	4.071378
9.349976	7.168579	4.037604
9.375000	7.188110	4.185773
9.400024	7.219849	5.141245
9.425049	7.238770	5.493146
9.450073	7.245483	4.288184
9.475098	7.238770	4.106241
9.500122	7.290039	5.630420
9.525146	7.308960	4.982181
9.550171	7.353516	4.481021
9.575195	7.372437	4.640085
9.600220	7.391968	4.572537
9.625244	7.391968	5.356961
9.650269	7.410889	5.254550
9.675293	7.468262	4.094257
9.699707	7.493896	3.958072
9.724731	7.487183	5.026849
9.749756	7.525635	5.754620
9.774780	7.525635	4.549658
9.799805	7.557373	4.503900
9.824829	7.589111	4.435263
9.849854	7.583008	5.141245
9.874878	7.646484	4.595416
9.899902	7.646484	4.754480
9.924927	7.678223	4.242426
9.949951	7.665405	4.265305
9.974976	7.722778	4.970197
10.000000	7.742310	5.129260
10.025024	7.767334	4.526779
10.050049	7.780151	4.867786
10.075073	7.812500	5.231671
10.100098	7.812500	4.344836
10.125122	7.831421	5.164124
10.150146	7.850342	5.164124
10.175171	7.926636	4.901559
10.200195	7.933350	4.993076
10.225220	7.926636	4.879770
10.250244	7.946167	4.913544
10.275269	7.984009	4.674948
10.300293	8.009644	5.152139
10.324707	7.996826	4.242426
10.349731	8.073120	4.731601
10.374756	8.079834	4.367715
10.399780	8.092651	5.175018
10.424805	8.105469	5.243655
10.449829	8.130493	4.037604
10.474854	8.143311	4.367715
10.499878	8.162842	4.936423
10.524902	8.187866	4.844907
10.549927	8.207397	5.505130
10.574951	8.264771	4.526779
10.599976	8.264771	5.038834
10.625000	8.302612	5.846136
10.650024	8.315430	5.857031
10.675049	8.347168	4.959302
10.700073	8.359985	4.970197
10.725098	8.379517	4.788254
10.750122	8.391724	5.197897
10.775146	8.424072	4.685843
10.800171	8.442993	3.684613
10.825195	8.455811	4.652069
10.850220	8.481445	4.970197
10.875244	8.500366	5.277429
10.900269	8.519287	4.515884
10.925293	8.544922	4.742496
10.949707	8.583374	4.083362
10.974731	8.602295	5.208792
10.999756	8.621216	5.390735
11.024780	8.634033	4.765375
11.049805	8.659668	5.026849
11.074829	8.691406	4.777359
11.099854	8.735962	5.197897
11.124878	8.748779	5.277429
11.149902	8.717041	4.856891
11.174927	8.780518	5.141245
11.199951	8.787231	5.185913
11.224976	8.850708	5.095486
11.250000	8.876343	4.765375
11.275024	8.863525	5.675089
11.300049	8.914185	4.560553
11.325073	8.914185	5.015955
11.350098	8.939819	5.164124
11.375122	8.946533	4.185773
11.400146	8.991089	4.731601
11.425171	9.003296	5.300308
11.450195	9.048462	4.788254
11.475220	9.067383	4.788254
11.500244	9.041748	4.788254
11.525269	9.080200	5.834152
11.550293	9.099121	5.572678
11.574707	9.118042	4.503900
11.599731	9.162598	4.481021
11.624756	9.182129	5.129260
11.649780	9.226685	5.572678
11.674805	9.232788	5.505130
11.699829	9.258423	4.674948
11.724854	9.296875	4.811133
11.749878	9.277344	5.994305
11.774902	9.321899	5.197897
11.799927	9.360352	4.982181
11.824951	9.373169	4.332852
11.849976	9.379272	4.947318
11.875000	9.392090	5.152139
11.900024	9.430542	4.549658
11.925049	9.468384	4.071378
11.950073	9.487915	4.242426
11.975098	9.512939	5.425598
12.000122	9.519653	5.572678
12.025146	9.577026	5.083502
12.050171	9.595947	5.038834
12.075195	9.615479	4.901559
12.100220	9.602661	6.335312
12.125244	9.647217	5.379840
12.150269	9.666138	5.003970
12.175293	9.672241	5.175018
12.199707	9.691772	5.561783
12.224731	9.755249	5.869016
12.249756	9.768066	6.176248
12.274780	9.806519	5.277429
12.299805	9.799805	5.164124
12.324829	9.831543	5.812363
12.349854	9.831543	5.743726
12.374878	9.869995	5.141245
12.399902	9.927368	4.822028
12.424927	9.908447	4.481021
12.449951	9.959106	5.118365
12.474976	9.965820	4.196667
12.500000	9.978027	5.038834
12.525024	10.003662	4.503900
12.550049	10.023193	5.072607
12.575073	10.061035	4.970197
12.600098	10.086670	5.311203
12.625122	10.099487	5.254550
12.650146	10.125122	5.505130
12.675171	10.144043	5.675089
12.700195	10.188599	4.674948
12.725220	10.188599	5.390735
12.750244	10.214233	5.367856
12.775269	10.233154	5.971426
12.800293	10.271606	5.356961
12.824707	10.277710	5.231671
12.849731	10.341187	4.834012
12.874756	10.360718	5.800378
12.899780	10.379639	5.971426
12.924805	10.386353	4.777359
12.949829	10.405273	4.129120
12.974854	10.424194	4.844907
12.999878	10.468750	5.288324
13.024902	10.494385	5.459372
13.049927	10.520020	4.890665
13.074951	10.513306	4.253320
13.099976	10.545044	5.402719
13.125000	10.551758	6.028079
13.150024	10.596313	5.311203
13.175049	10.621948	4.936423
13.200073	10.615234	4.629190
13.225098	10.646973	5.026849
13.250122	10.685425	5.413614
13.275146	10.723877	4.936423
13.300171	10.729980	4.572537
13.325195	10.736694	4.856891
13.350220	10.768433	5.015955
13.375244	10.774536	5.185913
13.400269	10.831909	4.458142
13.425293	10.851440	4.413474
13.449707	10.876465	4.913544
13.474731	10.876465	5.448477
13.499756	10.902100	4.913544
13.524780	10.953369	4.662964
13.549805	10.940552	4.060483
13.574829	10.972290	4.572537
13.599854	10.997925	5.846136
13.624878	11.022949	5.277429
13.649902	11.048584	5.505130
13.674927	11.087036	5.175018
13.699951	11.099854	5.607541
13.724976	11.118774	5.482251
13.750000	11.131592	5.607541
13.775024	11.163330	5.141245
13.800049	11.176147	5.129260
13.825073	11.213989	5.379840
13.850098	11.246338	5.493146
13.875122	11.259155	5.003970
13.900146	11.278076	4.470126
13.925171	11.309814	4.685843
13.950195	11.322632	5.413614
13.975220	11.361084	5.436493
14.000244	11.386108	4.811133
14.025269	11.411743	5.152139
