FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 12/7/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
0.000000	0.014038	-0.000305
0.000000	0.014038	0.000336
0.000000	-0.004883	0.000977
0.000000	0.026855	0.000000
0.000000	-0.004883	0.000336
0.000000	-0.004883	0.000641
0.000000	0.014038	0.000977
0.000000	0.020752	0.000336
0.000000	0.014038	0.000000
0.000000	0.014038	-0.000641
0.000000	0.065308	0.001923
0.000000	0.014038	-0.000305
0.000000	0.020752	0.000000
0.000000	0.014038	0.000336
0.000000	0.020752	0.001282
0.000000	0.007935	0.000977
0.000000	0.033569	0.000336
0.000000	0.001221	0.000336
0.000000	0.001221	-0.000305
0.000000	0.007935	0.000336
0.000000	-0.010986	-0.000641
0.000000	0.020752	0.000336
0.000000	0.039673	0.000000
0.000000	0.026855	0.000977
0.000000	-0.010986	-0.000641
0.000000	-0.010986	0.001282
0.000000	0.001221	0.000000
0.000000	0.001221	0.001923
0.000000	0.033569	0.001923
0.000000	0.001221	0.000977
0.000000	-0.004883	0.001923
0.000000	0.020752	0.001923
0.000000	0.014038	0.000977
0.000000	0.007935	0.000000
0.000000	0.007935	0.001282
0.000000	0.026855	0.000000
0.000000	-0.010986	0.001282
0.000000	0.020752	-0.000641
0.000000	0.001221	0.000000
0.000000	0.014038	0.000641
0.000000	0.007935	0.000000
0.000000	0.026855	0.002563
0.000000	-0.004883	0.000000
0.000000	0.007935	0.000336
0.000000	0.039673	-0.000305
0.000000	-0.004883	0.000336
0.000000	0.007935	0.001282
0.000000	0.020752	0.001282
0.000000	-0.023804	-0.000946
0.000000	-0.010986	-0.000641
0.000000	-0.010986	-0.000946
0.000000	0.033569	0.000000
0.000000	-0.023804	0.000977
0.000000	0.007935	0.000977
0.000000	-0.030518	0.000000
0.000000	0.001221	0.000336
0.000000	0.014038	0.001282
0.000000	-0.010986	0.000641
0.000000	0.020752	0.000000
0.000000	0.033569	0.000336
0.000000	0.026855	0.000336
0.000000	-0.017700	0.000977
0.000000	0.039673	0.000336
0.000000	-0.030518	0.001282
0.000000	-0.017700	-0.000641
0.000000	-0.004883	0.000000
0.000000	0.020752	0.001282
0.000000	-0.004883	0.001587
0.000000	0.001221	0.000000
0.000000	-0.017700	-0.000946
0.000000	-0.004883	-0.000305
0.000000	-0.036621	0.002228
0.000000	-0.023804	0.001587
0.000000	0.001221	0.000000
0.000000	0.007935	0.000336
0.000000	0.020752	0.001282
