FORCE/DISPLACEMENT CLAMP EXPERIMENT 
 12/7/2015 
 
 Experiment Name: 	 Default 
 Cantilever ID #: 	 Default 
 Sampling rate (Hz): 	 1000 
 Actuation Mode: 	 Disp. Clamp 
 
 Set Point (um) 	 Actuator Position (um) 	 Piezo Position (um) 
1.589966	1.135254	0.003510
1.605225	1.148071	0.004456
1.619873	1.135254	0.003510
1.635132	1.135254	0.004150
1.649780	1.179810	0.004150
1.665039	1.154785	0.004791
1.680298	1.205444	0.003510
1.694946	1.179810	0.004150
1.710205	1.192627	0.003510
1.724854	1.218262	0.004456
1.740112	1.243896	0.004150
1.754761	1.262817	0.004150
1.770020	1.262817	0.004456
1.785278	1.281738	0.004150
1.799927	1.269531	0.004456
1.815186	1.294556	0.005096
1.829834	1.314087	0.003845
1.845093	1.320190	0.004150
1.859741	1.307373	0.003845
1.875000	1.345825	0.004791
1.890259	1.345825	0.004150
1.904907	1.351929	0.003510
1.920166	1.377563	0.003845
1.934814	1.396484	0.004791
1.950073	1.422119	0.002563
1.964722	1.396484	0.004150
1.979980	1.422119	0.003510
1.995239	1.434937	0.005432
2.009888	1.422119	0.003510
2.025146	1.498413	0.004150
2.039795	1.473389	0.002563
2.055054	1.492310	0.004150
2.069702	1.485596	0.005096
2.084961	1.524048	0.004150
2.100220	1.524048	0.003204
2.114868	1.549683	0.003845
2.130127	1.524048	0.003845
2.144775	1.555786	0.004150
2.160034	1.581421	0.003845
2.175293	1.581421	0.004150
2.189941	1.575317	0.003510
2.205200	1.594238	0.005432
2.219849	1.638794	0.005737
2.235107	1.594238	0.003845
2.249756	1.625977	0.004150
2.265015	1.664429	0.003510
2.280273	1.664429	0.003845
2.294922	1.689453	0.002869
2.310181	1.696167	0.005096
2.324829	1.689453	0.004791
2.340088	1.670532	0.004150
2.354736	1.715088	0.004791
2.369995	1.746826	0.003845
2.385254	1.727905	0.004150
2.399902	1.734619	0.005096
2.415161	1.791992	0.004456
2.429810	1.785278	0.002869
2.445068	1.772461	0.004150
2.459717	1.804199	0.003845
2.474976	1.810913	0.003845
2.490234	1.823730	0.003510
2.504883	1.855469	0.003204
2.520142	1.881104	0.006073
2.534790	1.881104	0.003510
2.550049	1.881104	0.004150
2.564697	1.881104	0.002563
2.579956	1.912842	0.003845
2.595215	1.893921	0.004150
2.609863	1.944580	0.003204
2.625122	1.912842	0.005096
2.639771	1.957397	0.004791
2.655029	1.970215	0.003845
2.670288	1.976318	0.004456
2.684937	1.995850	0.003510
2.700195	1.995850	0.002563
2.714844	2.040405	0.003845
2.730103	2.033691	0.003845
2.744751	2.046509	0.003845
2.760010	2.072144	0.004150
2.775269	2.059326	0.004456
2.789917	2.091064	0.004150
2.805176	2.109985	0.004150
2.819824	2.065430	0.004150
2.835083	2.097778	0.004150
2.849731	2.097778	0.004150
2.864990	2.122803	0.004150
2.880249	2.148437	0.003204
2.894897	2.174072	0.004150
2.910156	2.180176	0.005432
2.924805	2.192993	0.005432
2.940063	2.186890	0.004456
2.954712	2.186890	0.003204
2.969971	2.237549	0.003845
2.985229	2.237549	0.004150
2.999878	2.237549	0.005096
3.015137	2.263184	0.003204
3.029785	2.263184	0.003845
3.045044	2.301636	0.004150
3.060303	2.301636	0.003204
3.074951	2.294922	0.002563
3.090210	2.294922	0.003845
3.104858	2.358398	0.003510
3.120117	2.352295	0.004150
3.134766	2.371216	0.005432
3.150024	2.365112	0.004456
3.165283	2.396851	0.003845
3.179932	2.403564	0.004456
3.195190	2.358398	0.004456
3.209839	2.441406	0.004150
3.225098	2.422485	0.004456
3.239746	2.435303	0.003204
3.255005	2.448120	0.003845
3.270264	2.473145	0.004150
3.284912	2.479858	0.004150
3.300171	2.511597	0.002869
3.314819	2.485962	0.004791
3.330078	2.517700	0.004150
3.344727	2.537231	0.003845
3.359985	2.550049	0.004791
3.375244	2.568970	0.004150
3.389893	2.581787	0.004150
3.405151	2.594604	0.004150
3.419800	2.594604	0.004150
3.435059	2.613525	0.004150
3.449707	2.600708	0.004791
3.464966	2.607422	0.003204
3.480225	2.632446	0.004456
3.494873	2.607422	0.003845
3.510132	2.658081	0.004791
3.524780	2.683716	0.002869
3.540039	2.721558	0.003204
3.555298	2.689819	0.004150
3.569946	2.709351	0.004791
3.585205	2.715454	0.005432
3.599854	2.696533	0.002869
3.615112	2.734375	0.003845
3.629761	2.778931	0.004150
3.645020	2.836304	0.003845
3.660278	2.798462	0.004150
3.674927	2.823486	0.004791
3.690186	2.868652	0.004791
3.704834	2.811279	0.002869
3.720093	2.849121	0.004150
3.734741	2.868652	0.003845
3.750000	2.880859	0.003510
3.765259	2.861938	0.003204
3.779907	2.919312	0.003204
3.795166	2.906494	0.004150
3.809814	2.900391	0.005737
3.825073	2.919312	0.003204
3.839722	2.938232	0.003845
3.854980	2.938232	0.004791
3.870239	2.976685	0.003845
3.884888	2.970581	0.004791
3.900146	3.021240	0.005096
3.914795	3.008423	0.004791
3.930054	3.015137	0.003845
3.944702	3.008423	0.003845
3.959961	3.046875	0.003510
3.975220	3.072510	0.002869
3.989868	3.065796	0.003204
4.005127	3.097534	0.004150
4.019775	3.091431	0.003510
4.035034	3.091431	0.004791
4.050293	3.135986	0.005096
4.064941	3.135986	0.003510
4.080200	3.154907	0.001923
4.094849	3.167725	0.003204
4.110107	3.212280	0.004150
4.124756	3.218994	0.003845
4.140015	3.244019	0.004791
4.155273	3.231812	0.003204
4.169922	3.218994	0.004456
4.185181	3.237915	0.003204
4.199829	3.225098	0.003845
4.215088	3.295288	0.003845
4.229736	3.295288	0.003510
4.244995	3.295288	0.004150
4.260254	3.308105	0.004150
4.274902	3.282471	0.004150
4.290161	3.327026	0.004150
4.304810	3.333740	0.005737
4.320068	3.333740	0.002563
4.334717	3.384399	0.004791
4.349976	3.371582	0.004150
4.365234	3.384399	0.005096
4.379883	3.397217	0.003845
4.395142	3.447876	0.004150
4.409790	3.441772	0.004150
4.425049	3.480225	0.004791
4.439697	3.454590	0.004456
4.454956	3.505249	0.004456
4.470215	3.499146	0.004150
4.484863	3.480225	0.004456
4.500122	3.537598	0.003845
4.514771	3.537598	0.004456
4.530029	3.537598	0.004150
4.545288	3.549805	0.003845
4.559937	3.582153	0.003845
4.575195	3.588257	0.003845
4.589844	3.594360	0.004150
4.605103	3.601074	0.003510
4.619751	3.601074	0.004150
4.635010	3.639526	0.003845
4.650269	3.651733	0.003845
4.664917	3.664551	0.004150
4.680176	3.696899	0.003845
4.694824	3.684082	0.002869
4.710083	3.696899	0.004150
4.724731	3.709106	0.004791
4.739990	3.715820	0.004150
4.755249	3.766479	0.004150
